id,x,y,capacity,open_cost
M1_1,69.06,64.59,384.81,40326.59
M1_2,9.31,22.16,385.33,41717.31
M1_3,58.16,47.33,432.05,22248.24
M1_4,74.59,33.08,394.65,27020.15
M1_5,25.14,12.07,434.62,20836.66
M1_6,53.59,76.22,316.0,14782.19
M1_7,48.42,72.46,314.27,18655.39
M1_8,28.3,10.05,498.26,30985.47
M1_9,17.94,1.41,316.35,19099.33
M1_10,97.43,55.34,395.4,20972.45
M1_11,86.85,49.09,433.36,15051.18
M1_12,46.94,44.05,474.11,32962.57
M1_13,94.11,47.77,314.08,12055.07
M1_14,7.41,62.94,462.35,26028.3
M1_15,56.28,30.38,283.69,15967.9
M1_16,76.44,60.63,502.29,14738.06
M1_17,52.26,45.05,455.05,19027.49
M1_18,99.0,30.54,374.15,44406.67
M1_19,74.01,94.76,415.6,34385.24
M1_20,66.04,15.71,319.53,18441.01
M1_21,0.27,45.05,311.63,13002.59
M1_22,23.15,70.7,409.27,21650.37
M1_23,68.74,92.39,434.65,28161.25
M1_24,66.12,93.37,454.38,35002.32
M1_25,64.76,90.84,370.06,31782.5
M1_26,16.59,30.76,463.4,12856.39
M1_27,28.86,12.44,445.34,32768.28
M1_28,94.27,50.05,431.33,37989.35
M1_29,3.99,43.2,386.02,13217.67
M1_30,9.13,96.19,346.16,20014.72
